exchange,symbol,instrument_token
NSE,IDFC,3060993
NSE,ICICIB22,133633
NSE,ICICI0402-NC,2743297
NSE,ICEMAKE-SM,159745
NSE,IBULHSGFIN-N5,4766209
NSE,IBUCCREDIT-N2,1247489
NSE,HUDCO-N3,7997953
NSE,HITECHGEAR,1134849
NSE,HINDCOMPOS,351233
NSE,GOODLUCK,1568001
NSE,GODFRYPHLP,302337
NSE,GOLDTECH,2527745
NSE,HERCULES,3913729
NSE,GUJGASLTD,2713345
NSE,GRSE,1401601
NSE,GUJFLUORO,329985
NSE,HEIDELBERG,592897
NSE,HBLPOWER,3575297
NSE,HEG,342017
NSE,ICICIGOLD,5037825
NSE,IBUCCREDIT-N4,1248769
NSE,HMT-BZ,5042689
NSE,VERA-SM,682497
NSE,ICICIGI,5573121
NSE,ICICI-M1,2611457
NSE,ICICIBANK,1270529
NSE,KHAITANLTD-BE,2452993
NSE,IRFC-N8,151297
NSE,IMPEXFERRO-BE,2991105
NSE,IMPAL,3074305
NSE,IRFC-N7,150017
NSE,INGERRAND,408833
NSE,IRFC-N6,7579393
NSE,KHADIM,108801
NSE,JISLJALEQS,2661633
NSE,J&KBANK,1442049
NSE,KGL-BE,3732737
NSE,JYOTISTRUC-BZ,617217
NSE,KEYCORPSER,1064193
NSE,QUINTEGRA,2394881
NSE,NAVNETEDUL,610561
NSE,MANAPPURAM,4879617
NSE,LEMONTREE,667137
NSE,KRIDHANINF,2938881
NSE,LEEL,1213441
NSE,MANALIPETC,3531777
NSE,M&MFIN,3400961
NSE,MANAKSTEEL,1910529
NSE,NAVKARCORP,2702593
NSE,MINDTREE,3675137
NSE,MAXINDIA,4542721
NSE,MINDTECK,4620545
NSE,NAVINFLUOR,3756033
NSE,MSPL,3051265
NSE,NAUKRI,3520257
NSE,QUICKHEAL,3357697
NSE,ORIENTHOT,638209
NSE,NILASPACES,1897217
NSE,NHAI-NA,3072769
NSE,NILAINFRA,2368769
NSE,ORIENTELEC,760833
NSE,NTPC-NC,2751745
NSE,ORIENTCEM,7702785
NSE,QUESS,4532225
NSE,PIIND,6191105
NSE,PDPL,5001473
NSE,QNIFTY,4305665
NSE,PRAKASHSTL,5017345
NSE,QGOLDHALF,3924481
NSE,JBMA,2983681
NSE,SUULD-SM,830721
NSE,TIFIN,5565441
NSE,SKIL,1164801
NSE,SANCO,4876545
NSE,REPL-SM,1020161
NSE,RECLTD-N3,7580673
NSE,REPCOHOME,7577089
NSE,SAMBHAAV,1056513
NSE,BRIGADE,3887105
NSE,BRNL,5550849
NSE,CCHHL,1634561
NSE,CENTURYPLY,3406081
NSE,CUMMINSIND,486657
NSE,DBCORP,4577537
NSE,DHFL-N7,4683265
NSE,DHFL-NJ,4689409
NSE,EHFLNCD-N4,4572673
NSE,ELECON,3492609
NSE,ESTER,6211841
NSE,RPOWER,3906305
NSE,GHCL,288513
NSE,GISOLUTION,4350977
NSE,GOACARBON,3759873
NSE,GREENPOWER,5148161
NSE,IBREALEST,3699201
NSE,SALZERELEC,2918145
NSE,ICICI0199-NB,1548801
NSE,ICICI0302-NC,2737921
NSE,IFCI-NH,1474305
NSE,INDIANCARD,1132033
NSE,INEOSSTYRO,4865
NSE,JASH-SM,9217
NSE,JMTAUTOLTD,3704321
NSE,JUSTDIAL,7670273
NSE,KINGFA,4849665
NSE,KPRMILL,3817473
NSE,LAOPALA,3692289
NSE,LAURUSLABS,4923905
NSE,MCLEODRUSS,3057409
NSE,MILTON-SM,40705
NSE,MUKANDENGG,2135809
NSE,NHAI-ND,3717633
NSE,NIACL,102145
NSE,NTL-BE,7821825
NSE,PEL,617473
NSE,PERSISTENT,4701441
NSE,PIONDIST,4861953
NSE,PRABHAT,2726401
NSE,RBLBANK,4708097
NSE,RECLTD-ND,751361
NSE,RELIANCE,738561
NSE,SESHAPAPER,784897
NSE,SETFNIF50,2605057
NSE,SGBSEP24-GB,4811521
NSE,SHIVAMAUTO,3521537
NSE,SIS,5504257
NSE,SOUTHBANK,1522689
NSE,SREIBNPNCD-NK,4994561
NSE,SREIBNPNCD-NO,5509377
NSE,SRTRANSFIN-YO,1571841
NSE,SUNDRMBRAK,1069825
NSE,SYNCOM,4634625
NSE,TAINWALCHM,869377
NSE,TCIFINANCE,1221377
NSE,THEINVEST,5485313
NSE,TRANSWIND-SM,5442561
NSE,TTL,3664385
NSE,SKFINDIA,815617
NSE,SGBNOV25VI-GB,101889
NSE,SECURCRED-SM,105473
NSE,SGBNOV25IX-GB,138241
NSE,SJVN,4834049
NSE,SHREECEM,794369
NSE,SIYSIL,3608577
NSE,TIDEWATER,3588865
NSE,TOKYOPLAST,982273
NSE,SRTRANSFIN-YT,1579521
NSE,TEXMOPIPES,4662785
NSE,TCIEXP,4921089
NSE,SUNPHARMA,857857
NSE,STAMPEDE,4579329
NSE,SREIBNPNCD-NV,5512961
NSE,SMARTLINK,2531585
NSE,SHYAMTEL,3517441
NSE,SHARONBIO-BZ,79361
NSE,SGBDEC2512-GB,203521
NSE,SBILIFE,5582849
NSE,SALASAR,5468673
NSE,SAGARDEEP-SM,4382721
NSE,REFEX,4547585
NSE,RANASUG,726273
NSE,PSPPROJECT,5344513
NSE,PODDARMENT,4873217
NSE,PFC-N4,5114369
NSE,PARABDRUGS-BE,4888321
NSE,PAISALO,6519809
NSE,NFL,3564801
NSE,NETWORK18,3612417
NSE,NAGREEKEXP,3763713
NSE,MTNL,587265
NSE,MIRZAINT,1124865
NSE,MAXVIL,4471809
NSE,MANINFRA,4665857
NSE,MANAPPURAM-N9,1451009
NSE,LSIL,4557057
NSE,KOTAKPSUBK,3855617
NSE,KITEX,7398145
NSE,KEC,3394561
NSE,JSWENERGY,4574465
NSE,ITDCEM,1439233
NSE,IRFC-NH,3007489
NSE,INDOSTAR,790529
NSE,SPECTRUM-SM,1295361
NSE,ICICI1201-NB,2712577
NSE,ICICI0701-N8,2668289
NSE,HINDUNILVR,356865
NSE,HILTON,3744513
NSE,GSKCONS,821761
NSE,GSCLCEMENT,7641601
